id;eikon_deal_id;verified_deal;potential_deal_cos05;acquiror;manually_checked_acquiror;manually_checked_target;best_match_link_corrected;best_match_review_amount_corrected;full_name;full_name_cleaned;Reviews_cumsum;bucket
2625;34392769750;1;1;1;1;1;https://www.glassdoor.com/Reviews/PVH-Corp-Reviews-E530.htm;1600;PVH Corp;PVH;653206;2
7027;34392769750;1;1;0;1;1;https://www.glassdoor.com/Reviews/Warnaco-Group-Reviews-E958.htm;58;Warnaco Group Inc;Warnaco Group;653264;2
2603;34392774765;1;1;1;1;1;https://www.glassdoor.com/Reviews/Leon-s-Furniture-Reviews-E13755.htm;379;Leon's Furniture Ltd;Leon's Furniture;653643;2
7071;34392774765;1;1;0;1;1;https://www.glassdoor.com/Reviews/The-Brick-Reviews-E13808.htm;468;The Brick Ltd;The Brick;654111;2
2492;34392775084;1;1;1;1;1;https://www.glassdoor.com/Reviews/Ziff-Davis-Reviews-E6132150.htm;57;J2 Global Inc;J2 Global;654168;2
7075;34392775084;1;1;0;1;1;https://www.glassdoor.com/Reviews/Ziff-Davis-Reviews-E6132150.htm;40;Ziff Davis Inc;Ziff Davis;654208;2
2479;34392776758;1;1;1;1;1;https://www.glassdoor.com/Reviews/Starbucks-Reviews-E2202.htm;53200;Starbucks Corp;Starbucks;707408;2
7032;34392776758;1;1;0;1;1;https://www.glassdoor.com/Reviews/Teavana-Reviews-E151659.htm;100;Teavana Holdings Inc;Teavana;707508;2
2606;34392795255;1;1;1;1;1;https://www.glassdoor.com/Reviews/Honeywell-Reviews-E28.htm;16200;Honeywell International Inc;Honeywell International;723708;2
7148;34392795255;1;1;0;1;1;https://www.glassdoor.com/Reviews/Intermec-Technologies-Reviews-E387086.htm;90;Intermec Inc;Intermec;723798;2
2260;34392797355;1;1;1;1;1;https://www.glassdoor.com/Reviews/Bausch-Health-Reviews-E2180969.htm;210;Valeant Pharmaceuticals International Inc;Valeant Pharmaceuticals International;724008;2
6688;34392797355;1;1;0;1;1;https://www.glassdoor.com/Reviews/Bausch-Lomb-Reviews-E82.htm;536;Bausch & Lomb Inc;Bausch and Lomb;724544;2
2766;34392802434;1;1;1;1;1;https://www.glassdoor.com/Reviews/Stock-Yards-Bank-and-Trust-Reviews-E275481.htm;84;SY Bancorp Inc;SY Bancorp;724628;2
7106;34392802434;1;1;0;1;1;https://www.glassdoor.com/Reviews/The-Bancorp-Reviews-E34951.htm;89;Bancorp Inc;Bancorp;724717;2
2617;34392803690;1;1;1;1;1;https://www.glassdoor.com/Reviews/COGECO-Reviews-E7464.htm;179;Cogeco Cable Inc;Cogeco Cable;724896;2
7099;34392803690;1;1;0;1;1;https://www.glassdoor.com/Reviews/Cogeco-Peer1-Reviews-E306818.htm;218;Peer 1 Network Enterprises Inc;Peer 1 Network Enterprises;725114;2
2045;34392808944;1;1;1;1;1;https://www.glassdoor.com/Reviews/Avis-Budget-Group-Reviews-E7303.htm;300;Avis Budget Group Inc;Avis Budget Group;725414;2
6607;34392808944;1;1;0;1;1;https://www.glassdoor.com/Reviews/Zipcar-Reviews-E38123.htm;349;Zipcar Inc;Zipcar;725763;2
2046;34392810822;1;1;1;1;1;https://www.glassdoor.com/Reviews/athenahealth-Reviews-E18207.htm;808;athenahealth Inc;athenahealth;726571;2
6608;34392810822;1;1;0;1;1;https://www.glassdoor.com/Reviews/Epocrates-Reviews-E100314.htm;59;Epocrates Inc;Epocrates;726630;2
2248;34392825482;1;1;1;1;1;https://www.glassdoor.com/Reviews/Reliance-Steel-Reviews-E3693.htm;64;Reliance Steel & Aluminum Co;Reliance Steel and Aluminum;726694;2
6693;34392825482;1;1;0;1;1;https://www.glassdoor.com/Reviews/Metals-USA-Reviews-E6866.htm;52;Metals USA Holdings Corp;Metals USA;726746;2
2053;34392825873;1;1;1;1;1;https://www.glassdoor.com/Reviews/Liberty-Global-Reviews-E38776.htm;386;Liberty Global Inc;Liberty Global;727132;2
6614;34392825873;1;1;0;1;1;https://www.glassdoor.com/Reviews/Virgin-Media-Reviews-E36248.htm;1633;Virgin Media Inc;Virgin Media;728765;2
2078;34392828564;1;1;1;1;1;https://www.glassdoor.com/Reviews/Kroger-Reviews-E386.htm;17600;Kroger Co;Kroger;746365;2
6689;34392828564;1;1;0;1;1;https://www.glassdoor.com/Reviews/Harris-Teeter-Reviews-E18182.htm;400;Harris Teeter Supermarkets Inc;Harris Teeter Supermarkets;746765;2
2056;34392838366;1;1;1;1;1;https://www.glassdoor.com/Reviews/Encore-Capital-Group-Reviews-E9296.htm;588;Encore Capital Group Inc;Encore Capital Group;747353;2
